ITMNUM;PRICE_NET;PRICE_BRU;CURRENCY;PRILIST;CUSGRP
EMOTIONSET0029000514DE;758.27590;879.6;1;SPL13-0002;DE_B2C
EMOTIONSET0031000514DE;818.62070;949.6;1;SPL13-0002;DE_B2C
EMOTIONSET0031000514DE;732.67240;902.12;1;SPL13-0003;DE_B2C
EMOTIONSET0032000401DE;818.70687;949.7;1;SPL13-0002;DE_B2C
EMOTIONSET0032000514DE;732.67243;902.22;1;SPL13-0003;DE_B2C
EMOTIONSET0033000401DE;749.74134;869.7;1;SPL13-0002;DE_B2C
EMOTIONSET0033000514DE;749.74134;869.7;1;SPL13-0002;DE_B2C
EMOTIONSET0023000514DE;1111.63788;1289.5;1;SPL13-0002;DE_B2C
EMOTIONSET0023000514DE;1008.53444;1225.03;1;SPL13-0003;DE_B2C
EMOTIONSET0024000401DE;775.77588;987.53;1;SPL13-0003;DE_B2C
EMOTIONSET0025000401DE;990.94830;949.6;1;SPL13-0002;DE_B2C
EMOTIONSET0028000401DE;973.70693;1129.5;1;SPL13-0002;DE_B2C
EMOTIONSET0031000401DE;732.67240;902.12;1;SPL13-0003;DE_B2C
EMOTIONSET0033000514DE;663.70691;826.22;1;SPL13-0003;DE_B2C
EMOTIONSET0034000401DE;1120.25861;1299.5;1;SPL13-0002;DE_B2C
EMOTIONSET0034000514DE;1120.25861;1299.5;1;SPL13-0002;DE_B2C
EMOTIONSET0034000514DE;948.18964;1234.53;1;SPL13-0003;DE_B2C
EMOTIONSET0035000514DE;1034.13790;1199.6;1;SPL13-0002;DE_B2C
EMOTIONSET0035000514DE;930.94828;1139.62;1;SPL13-0003;DE_B2C
EMOTIONSET0036000401DE;775.60343;899.7;1;SPL13-0002;DE_B2C
EMOTIONSET0025000514DE;887.84480;902.12;1;SPL13-0003;DE_B2C
EMOTIONSET0027000520DE;405.08616;503.31;1;SPL13-0003;DE_B2C
EMOTIONSET0029000514DE;629.22409;835.62;1;SPL13-0003;DE_B2C
EMOTIONSET0031000401DE;818.62070;949.6;1;SPL13-0002;DE_B2C
EMOTIONSET0034000401DE;948.18964;1234.53;1;SPL13-0003;DE_B2C
EMOTIONSET0034000520DE;1120.25861;1299.5;1;SPL13-0002;DE_B2C
EMOTIONSET0035000520DE;930.94828;1139.62;1;SPL13-0003;DE_B2C
EMOTIONSET0036000401DE;689.56899;854.72;1;SPL13-0003;DE_B2C
EMOTIONSET0036000514DE;775.60343;899.7;1;SPL13-0002;DE_B2C
EMOTIONSET0036000520DE;775.60343;899.7;1;SPL13-0002;DE_B2C
EMOTIONSET0037000514DE;844.48278;979.6;1;SPL13-0002;DE_B2C
EMOTIONSET0038000514DE;706.81035;873.72;1;SPL13-0003;DE_B2C
EMOTIONSET0038000520DE;792.84478;919.7;1;SPL13-0002;DE_B2C
EMOTIONSET0026000520DE;586.12065;731.22;1;SPL13-0003;DE_B2C
EMOTIONSET0027000401DE;456.72415;529.8;1;SPL13-0002;DE_B2C
EMOTIONSET0028000514DE;836.12067;1073.03;1;SPL13-0003;DE_B2C
EMOTIONSET0030000401DE;801.29307;929.5;1;SPL13-0002;DE_B2C
EMOTIONSET0031000520DE;818.62070;949.6;1;SPL13-0002;DE_B2C
EMOTIONSET0033000401DE;663.70691;826.22;1;SPL13-0003;DE_B2C
EMOTIONSET0034000520DE;948.18964;1234.53;1;SPL13-0003;DE_B2C
EMOTIONSET0039000401DE;646.37928;749.8;1;SPL13-0002;DE_B2C
EMOTIONSET0039000514DE;646.37928;749.8;1;SPL13-0002;DE_B2C
EMOTIONSET0040000401DE;1042.67240;1209.5;1;SPL13-0002;DE_B2C
EMOTIONSET0040000401DE;887.84480;1149.03;1;SPL13-0003;DE_B2C
EMOTIONSET0040000514DE;887.84480;1149.03;1;SPL13-0003;DE_B2C
EMOTIONSET0040000520DE;1042.67240;1209.5;1;SPL13-0002;DE_B2C
EMOTIONSET0027000520DE;456.72415;529.8;1;SPL13-0002;DE_B2C
EMOTIONSET0028000514DE;973.70693;1129.5;1;SPL13-0002;DE_B2C
EMOTIONSET0028000520DE;836.12067;1073.03;1;SPL13-0003;DE_B2C
EMOTIONSET0029000401DE;758.27590;879.6;1;SPL13-0002;DE_B2C
EMOTIONSET0029000401DE;629.22409;835.62;1;SPL13-0003;DE_B2C
EMOTIONSET0029000520DE;758.27590;879.6;1;SPL13-0002;DE_B2C
EMOTIONSET0029000520DE;629.22409;835.62;1;SPL13-0003;DE_B2C
EMOTIONSET0030000401DE;663.70691;883.03;1;SPL13-0003;DE_B2C
EMOTIONSET0030000514DE;801.29307;929.5;1;SPL13-0002;DE_B2C
EMOTIONSET0030000514DE;663.70691;883.03;1;SPL13-0003;DE_B2C
EMOTIONSET0030000520DE;801.29307;929.5;1;SPL13-0002;DE_B2C
EMOTIONSET0030000520DE;663.70691;883.03;1;SPL13-0003;DE_B2C
EMOTIONSET0031000520DE;732.67240;902.12;1;SPL13-0003;DE_B2C
EMOTIONSET0032000401DE;732.67243;902.22;1;SPL13-0003;DE_B2C
EMOTIONSET0032000514DE;818.70687;949.7;1;SPL13-0002;DE_B2C
EMOTIONSET0032000520DE;818.70687;949.7;1;SPL13-0002;DE_B2C
EMOTIONSET0032000520DE;732.67243;902.22;1;SPL13-0003;DE_B2C
EMOTIONSET0033000520DE;749.74134;869.7;1;SPL13-0002;DE_B2C
EMOTIONSET0033000520DE;663.70691;826.22;1;SPL13-0003;DE_B2C
EMOTIONSET0035000401DE;1034.13790;1199.6;1;SPL13-0002;DE_B2C
EMOTIONSET0035000401DE;930.94828;1139.62;1;SPL13-0003;DE_B2C
EMOTIONSET0035000520DE;1034.13790;1199.6;1;SPL13-0002;DE_B2C
EMOTIONSET0036000514DE;689.56899;854.72;1;SPL13-0003;DE_B2C
EMOTIONSET0036000520DE;689.56899;854.72;1;SPL13-0003;DE_B2C
EMOTIONSET0037000401DE;844.48278;979.6;1;SPL13-0002;DE_B2C
EMOTIONSET0037000401DE;758.53452;930.62;1;SPL13-0003;DE_B2C
EMOTIONSET0037000514DE;758.53452;930.62;1;SPL13-0003;DE_B2C
EMOTIONSET0040000514DE;1042.67240;1209.5;1;SPL13-0002;DE_B2C
EMOTIONSET0040000520DE;887.84480;1149.03;1;SPL13-0003;DE_B2C
EMOTIONSET0041000520DE;965.17238;1119.6;1;SPL13-0002;DE_B2C
EMOTIONSET0041000520DE;861.98276;1063.62;1;SPL13-0003;DE_B2C
EMOTIONSET0043000401DE;732.49999;849.7;1;SPL13-0002;DE_B2C
EMOTIONSET0043000514DE;732.49999;849.7;1;SPL13-0002;DE_B2C
EMOTIONSET0043000514DE;663.70691;807.22;1;SPL13-0003;DE_B2C
EMOTIONSET0043000520DE;732.49999;849.7;1;SPL13-0002;DE_B2C
EMOTIONSET0044000401DE;456.63798;529.7;1;SPL13-0002;DE_B2C
EMOTIONSET0044000401DE;361.98271;503.22;1;SPL13-0003;DE_B2C
EMOTIONSET0044000514DE;361.98271;503.22;1;SPL13-0003;DE_B2C
EMOTIONSET0045000514DE;439.39652;509.7;1;SPL13-0002;DE_B2C
EMOTIONSET0037000520DE;844.48278;979.6;1;SPL13-0002;DE_B2C
EMOTIONSET0037000520DE;758.53452;930.62;1;SPL13-0003;DE_B2C
EMOTIONSET0038000401DE;792.84478;919.7;1;SPL13-0002;DE_B2C
EMOTIONSET0038000401DE;706.81035;873.72;1;SPL13-0003;DE_B2C
EMOTIONSET0038000514DE;792.84478;919.7;1;SPL13-0002;DE_B2C
EMOTIONSET0038000520DE;706.81035;873.72;1;SPL13-0003;DE_B2C
EMOTIONSET0039000401DE;577.50002;712.31;1;SPL13-0003;DE_B2C
EMOTIONSET0039000514DE;577.50002;712.31;1;SPL13-0003;DE_B2C
EMOTIONSET0039000520DE;646.37928;749.8;1;SPL13-0002;DE_B2C
EMOTIONSET0039000520DE;577.50002;712.31;1;SPL13-0003;DE_B2C
EMOTIONSET0041000401DE;965.17238;1119.6;1;SPL13-0002;DE_B2C
EMOTIONSET0041000401DE;861.98276;1063.62;1;SPL13-0003;DE_B2C
EMOTIONSET0041000514DE;965.17238;1119.6;1;SPL13-0002;DE_B2C
EMOTIONSET0041000514DE;861.98276;1063.62;1;SPL13-0003;DE_B2C
EMOTIONSET0046000401DE;577.50002;769.12;1;SPL13-0003;DE_B2C
EMOTIONSET0046000520DE;577.50002;769.12;1;SPL13-0003;DE_B2C
EMOTIONSET0047000401DE;792.75861;819.6;1;SPL13-0002;DE_B2C
EMOTIONSET0047000401DE;586.12065;778.62;1;SPL13-0003;DE_B2C
EMOTIONSET0047000520DE;792.75861;819.6;1;SPL13-0002;DE_B2C
EMOTIONSET0047000520DE;586.12065;778.62;1;SPL13-0003;DE_B2C
EMOTIONSET0049000514DE;629.22409;778.72;1;SPL13-0003;DE_B2C
EMOTIONSET0049000520DE;706.63790;819.7;1;SPL13-0002;DE_B2C
EMOTIONSET0050000514DE;680.60347;589.6;1;SPL13-0002;DE_B2C
EMOTIONSET0050000520DE;680.60347;589.6;1;SPL13-0002;DE_B2C
EMOTIONSET0051000401DE;223.96549;259.8;1;SPL13-0002;DE_B2C
EMOTIONSET0051000401DE;206.81031;246.81;1;SPL13-0003;DE_B2C
EMOTIONSET0042000401DE;810.08624;939.7;1;SPL13-0002;DE_B2C
EMOTIONSET0042000401DE;732.67243;892.72;1;SPL13-0003;DE_B2C
EMOTIONSET0042000514DE;810.08624;939.7;1;SPL13-0002;DE_B2C
EMOTIONSET0042000514DE;732.67243;892.72;1;SPL13-0003;DE_B2C
EMOTIONSET0042000520DE;810.08624;939.7;1;SPL13-0002;DE_B2C
EMOTIONSET0042000520DE;732.67243;892.72;1;SPL13-0003;DE_B2C
EMOTIONSET0043000401DE;663.70691;807.22;1;SPL13-0003;DE_B2C
EMOTIONSET0043000520DE;663.70691;807.22;1;SPL13-0003;DE_B2C
EMOTIONSET0044000514DE;456.63798;529.7;1;SPL13-0002;DE_B2C
EMOTIONSET0044000520DE;456.63798;529.7;1;SPL13-0002;DE_B2C
EMOTIONSET0044000520DE;361.98271;503.22;1;SPL13-0003;DE_B2C
EMOTIONSET0045000401DE;439.39652;509.7;1;SPL13-0002;DE_B2C
EMOTIONSET0045000401DE;361.98271;484.22;1;SPL13-0003;DE_B2C
EMOTIONSET0045000514DE;361.98271;484.22;1;SPL13-0003;DE_B2C
EMOTIONSET0045000520DE;439.39652;509.7;1;SPL13-0002;DE_B2C
EMOTIONSET0046000514DE;697.93100;809.6;1;SPL13-0002;DE_B2C
EMOTIONSET0046000514DE;577.50002;769.12;1;SPL13-0003;DE_B2C
EMOTIONSET0047000514DE;792.75861;819.6;1;SPL13-0002;DE_B2C
EMOTIONSET0047000514DE;586.12065;778.62;1;SPL13-0003;DE_B2C
EMOTIONSET0048000401DE;646.20693;749.6;1;SPL13-0002;DE_B2C
EMOTIONSET0048000401DE;543.01721;712.12;1;SPL13-0003;DE_B2C
EMOTIONSET0048000514DE;543.01721;712.12;1;SPL13-0003;DE_B2C
EMOTIONSET0048000520DE;646.20693;749.6;1;SPL13-0002;DE_B2C
EMOTIONSET0048000520DE;543.01721;712.12;1;SPL13-0003;DE_B2C
EMOTIONSET0049000401DE;706.63790;819.7;1;SPL13-0002;DE_B2C
EMOTIONSET0049000401DE;629.22409;778.72;1;SPL13-0003;DE_B2C
EMOTIONSET0045000520DE;361.98271;484.22;1;SPL13-0003;DE_B2C
EMOTIONSET0046000401DE;697.93100;809.6;1;SPL13-0002;DE_B2C
EMOTIONSET0050000514DE;603.36211;560.12;1;SPL13-0003;DE_B2C
EMOTIONSET0051000514DE;223.96549;259.8;1;SPL13-0002;DE_B2C
EMOTIONSET0051000514DE;206.81031;246.81;1;SPL13-0003;DE_B2C
EMOTIONSET0051000520DE;206.81031;246.81;1;SPL13-0003;DE_B2C
EMOTIONSET0052000401DE;456.55171;529.6;1;SPL13-0002;DE_B2C
EMOTIONSET0052000401DE;405.08616;503.12;1;SPL13-0003;DE_B2C
EMOTIONSET0052000514DE;456.55171;529.6;1;SPL13-0002;DE_B2C
EMOTIONSET0052000514DE;405.08616;503.12;1;SPL13-0003;DE_B2C
EMOTIONSET0052000520DE;405.08616;503.12;1;SPL13-0003;DE_B2C
EMOTIONSET0053000401DE;474.05168;607.62;1;SPL13-0003;DE_B2C
EMOTIONSET0053000514DE;551.37932;639.6;1;SPL13-0002;DE_B2C
EMOTIONSET0046000520DE;697.93100;809.6;1;SPL13-0002;DE_B2C
EMOTIONSET0048000514DE;646.20693;749.6;1;SPL13-0002;DE_B2C
EMOTIONSET0049000514DE;706.63790;819.7;1;SPL13-0002;DE_B2C
EMOTIONSET0050000401DE;603.36211;560.12;1;SPL13-0003;DE_B2C
EMOTIONSET0050000520DE;603.36211;560.12;1;SPL13-0003;DE_B2C
EMOTIONSET0051000520DE;223.96549;259.8;1;SPL13-0002;DE_B2C
EMOTIONSET0053000401DE;551.37932;639.6;1;SPL13-0002;DE_B2C
EMOTIONSET0053000520DE;551.37932;639.6;1;SPL13-0002;DE_B2C
EMOTIONSET0055000401DE;353.27581;409.8;1;SPL13-0002;DE_B2C
EMOTIONSET0057000520DE;637.84482;788.22;1;SPL13-0003;DE_B2C
EMOTIONSET0061000514DE;844.74140;1111.12;1;SPL13-0003;DE_B2C
EMOTIONSET0061000520DE;1008.27582;1169.6;1;SPL13-0002;DE_B2C
EMOTIONSET0061000520DE;844.74140;1111.12;1;SPL13-0003;DE_B2C
EMOTIONSET0049000520DE;629.22409;778.72;1;SPL13-0003;DE_B2C
EMOTIONSET0053000514DE;474.05168;607.62;1;SPL13-0003;DE_B2C
EMOTIONSET0053000520DE;474.05168;607.62;1;SPL13-0003;DE_B2C
EMOTIONSET0054000514DE;336.03446;389.8;1;SPL13-0002;DE_B2C
EMOTIONSET0054000520DE;284.39656;370.31;1;SPL13-0003;DE_B2C
EMOTIONSET0055000401DE;301.63792;389.31;1;SPL13-0003;DE_B2C
EMOTIONSET0056000401DE;396.37936;459.8;1;SPL13-0002;DE_B2C
EMOTIONSET0056000401DE;344.74136;436.81;1;SPL13-0003;DE_B2C
EMOTIONSET0056000514DE;344.74136;436.81;1;SPL13-0003;DE_B2C
EMOTIONSET0056000520DE;396.37936;459.8;1;SPL13-0002;DE_B2C
